date,time_id,v0_num_traj
41343,20,92
41337,21,28
41338,21,30
41339,21,26
41340,21,39
41341,21,42
41342,21,89
41343,21,48
41337,22,13
41338,22,23
41339,22,17
41340,22,27
41341,22,27
41342,22,77
41343,22,36
41337,23,8
41338,23,4
41339,23,17
41340,23,28
41341,23,44
41342,23,74
41343,23,35
41337,24,5
41338,24,7
41339,24,8
41340,24,5
41341,24,16
41342,24,41
41343,24,4
41344,6,32
41344,7,135
41344,8,275
41344,9,263
41344,10,154
41344,11,88
41344,12,77
41344,13,95
41344,14,58
41344,15,75
41344,16,50
41344,17,47
41344,18,83
41344,19,56
41344,20,35
41344,21,20
41344,22,12
41344,23,4
41344,24,8
41345,6,24
41345,7,130
41345,8,248
41345,9,307
41345,10,152
41345,11,97
41345,12,89
41345,13,77
41345,14,75
41345,15,62
41345,16,40
41345,17,44
41345,18,76
41345,19,74
41345,20,29
41345,21,33
41345,22,33
41345,23,20
41345,24,9
41346,6,27
41346,7,125
41346,8,293
41346,9,288
41346,10,154
41346,11,102
41346,12,85
41346,13,96
41346,14,70
41346,15,64
41346,16,49
41346,17,32
41346,18,60
41346,19,71
41346,20,33
41346,21,21
41346,22,18
41346,23,24
41346,24,6
41347,6,19
41347,7,112
41347,8,297
41347,9,250
41347,10,166
41347,11,102
41347,12,103
41347,13,68
41347,14,58
41347,15,53
41347,16,46
41347,17,50
41347,18,63
41347,19,75
41347,20,35
41347,21,32
41347,22,39
41347,23,17
41347,24,5
41348,6,16
41348,7,137
41348,8,287
41348,9,289
41348,10,149
41348,11,104
41348,12,105
41348,13,80
41348,14,69
41348,15,70
41348,16,69
41348,17,68
41348,18,95
41348,19,104
41348,20,62
41348,21,47
41348,22,34
41348,23,38
41348,24,8
41349,1,4
41349,5,1
41349,7,37
41349,8,81
41349,9,140
41349,10,170
41349,11,204
41349,12,165
41349,13,159
41349,14,163
41349,15,113
41349,16,105
41349,17,103
41349,18,143
41349,19,128
41349,20,123
41349,21,70
41349,22,80
41349,23,90
41349,24,59
41350,1,14
41350,2,7
41350,3,1
41350,5,3
41350,6,4
41350,7,22
41350,8,36
41350,9,119
41350,10,183
41350,11,214
41350,12,187
41350,13,198
41350,14,158
41350,15,149
41350,16,96
41350,17,95
41350,18,135
41350,19,105
41350,20,95
41350,21,49
41350,22,62
41350,23,47
41350,24,13
41351,6,24
41351,7,112
41351,8,271
41351,9,286
41351,10,148
41351,11,91
41351,12,94
41351,13,81
41351,14,67
41351,15,58
41351,16,53
41351,17,39
41351,18,74
41351,19,77
41351,20,36
41351,21,27
41351,22,13
41351,23,14
41351,24,12
41352,6,23
41352,7,134
41352,8,273
41352,9,246
41352,10,149
41352,11,120
41352,12,92
41352,13,80
41352,14,72
41352,15,56
41352,16,38
41352,17,47
41352,18,94
41352,19,73
41352,20,26
41352,21,39
41352,22,29
41352,23,11
41352,24,2
41353,6,26
41353,7,139
41353,8,296
41353,9,295
41353,10,169
41353,11,95
41353,12,92
41353,13,97
41353,14,74
41353,15,64
41353,16,37
41353,17,41
41353,18,52
41353,19,56
41353,20,48
41353,21,29
41353,22,11
41353,23,14
41353,24,7
41354,6,23
41354,7,141
41354,8,258
41354,9,283
41354,10,141
41354,11,83
41354,12,100
41354,13,89
41354,14,91
41354,15,57
41354,16,58
41354,17,42
41354,18,96
41354,19,71
41354,20,35
41354,21,26
41354,22,23
41354,23,30
41354,24,17
41355,6,29
41355,7,134
41355,8,300
41355,9,293
41355,10,131
41355,11,120
41355,12,99
41355,13,111
41355,14,86
41355,15,71
41355,16,42
41355,17,52
41355,18,101
41355,19,101
41355,20,61
41355,21,41
41355,22,44
41355,23,41
41355,24,20
41356,1,12
41356,2,3
41356,7,34
41356,8,67
41356,9,131
41356,10,159
41356,11,169
41356,12,194
41356,13,193
41356,14,163
41356,15,138
41356,16,114
41356,17,108
41356,18,152
41356,19,173
41356,20,101
41356,21,69
41356,22,83
41356,23,85
41356,24,43
41357,1,35
41357,2,3
41357,4,1
41357,6,2
41357,7,24
41357,8,53
41357,9,125
41357,10,213
41357,11,194
41357,12,205
41357,13,189
41357,14,249
41357,15,161
41357,16,109
41357,17,112
41357,18,150
41357,19,78
41357,20,80
41357,21,55
41357,22,46
41357,23,45
41357,24,16
